tabname,fieldname,position,keyflag,rollname,domname,datatype,leng,decimals,notnull,checktable,reftable,reffield,ddtext
/BA1/HFSPD,/BA1/C55ASCRID,26,,,,CHAR,10,0,,,,, Accounting Scenario Run
/BA1/HFSPD,/BA1/C55DCHTXT,27,,,,CHAR,60,0,,,,, Journal Entry Header Text
/BA1/HFSPD,/BA1/C55PPCRUS,28,,,,CHAR,12,0,,,,, Preliminary Subledger Journal Entry Created By
/BA1/HFSPD,/BA1/C55PPRLUS,29,,,,CHAR,12,0,,,,, Preliminary Subledger Journal Entry Released by
/BA1/HFSPD,/BA1/C55YEAR,30,,,,NUMC,4,0,,,,, Fiscal Year
/BA1/HFSPD,/BA1/C55DOCDAT,31,,,,DATS,8,0,,,,, Journal Entry Date
/BA1/HFSPD,/BA1/C55VALDT,32,,,,DATS,8,0,,,,, Value Date
/BA1/HFSPD,/BA1/C55YPER,33,,,,NUMC,7,0,,,,, Fiscal Year and Period
/BA1/HFSPD,/BA1/C55FXREF,34,,,,CHAR,10,0,,,,, Reference to Subledger Journal Entry for Fixing FX Postings
/BA1/HFSPD,/BA1/C35BTRAN,35,,,,CHAR,20,0,,,,, Business Transaction ID
/BA1/HFSPD,/BA1/C35BTSRC,36,,,,CHAR,4,0,,,,, Source System of Business Transaction
/BA1/HFSPD,/BA1/C35TRXTYP,37,,,,CHAR,4,0,,,,, Transaction Type
/BA1/HFSPD,/BA1/C55TRCCAT,38,,,,CHAR,4,0,,,,, Transaction Code Category
/BA1/HFSPD,/BA1/C35REVIND,39,,,,CHAR,1,0,,,,, Reversal Business Transaction By Value
/BA1/HFSPD,/BA1/C35RVRFBT,40,,,,CHAR,20,0,,,,, Business Transaction ID of Reversed Business Transaction
/BA1/HFSPD,/BA1/C35BTIDRF,41,,,,CHAR,20,0,,,,, ID of Reference Business Transaction
/BA1/HFSPD,/BA1/C35BTINRF,42,,,,CHAR,10,0,,,,, Reference Number of Business Transaction Item
/BA1/HFSPD,/BA1/C20TPART,43,,,,CHAR,10,0,,,,, Trading Partner
/BA1/HFSPD,/BA1/C35POSNR,44,,,,NUMC,6,0,,,,, Item Number
/BA1/HFSPD,/BA1/C35DATSRC,45,,,,DATS,8,0,,,,, System Date in Source System
/BA1/HFSPD,/BA1/C35TIMSRC,46,,,,TIMS,6,0,,,,, System Time in Source System
/BA1/HFSPD,/BA1/C20TPORGU,47,,,,CHAR,10,0,,,,, Organizational Unit of Trading Partner
/BA1/HFSPD,/BA1/C55TPCOCR,48,,,,CHAR,10,0,,,,, Trading Partner Cost Center
/BA1/HFSPD,/BA1/C55TPCOCD,49,,,,CHAR,10,0,,,,, Imported Trading Partner Cost Center
/BA1/HFSPD,/BA1/C55POSTRC,50,,,,CHAR,1,0,,,,, Posting Record
/BA1/HFSPD,/BA1/C55BLART,51,,,,CHAR,2,0,,,,, Document Type
/BA1/HFSPD,/BA1/C55COMP,52,,,,CHAR,6,0,,,,, Company
/BA1/HFSPD,/BA1/C55BUKRS,53,,,,CHAR,4,0,,,T001,,Company Code
/BA1/HFSPD,/BA1/C55COAREA,54,,,,CHAR,4,0,,,,, Controlling Area
/BA1/HFSPD,/BA1/C55COCNTR,55,,,,CHAR,10,0,,,,, Cost Center
/BA1/HFSPD,/BA1/C55CONTID,56,,,,CHAR,20,0,,,,, Contract/Portfolio ID
/BA1/HFSPD,/BA1/C55CONTCT,57,,,,CHAR,4,0,,,,, Contract/Portfolio Category
/BA1/HFSPD,/BA1/C41FINST,58,,,,CHAR,20,0,,,,, Security
/BA1/HFSPD,/BA1/C11NODENO,59,,,,CHAR,12,0,,,,, Node Number
/BA1/HFSPD,/BA1/C55SECNNO,60,,,,CHAR,12,0,,,,, Node Number (Securities)
/BA1/HFSPD,/BA1/C55INVIND,61,,,,CHAR,1,0,,,,, Inverting Journal Entry (X = Inverter)
/BA1/HFSPD,/BA1/C55INVREF,62,,,,CHAR,10,0,,,,, Reference to Inverted Journal Entry (Journal Entry Number)
/BA1/HFSPD,/BA1/C55RESIND,63,,,,CHAR,1,0,,,,, Reset Document
/BA1/HFSPD,/BA1/C55RESREF,64,,,,CHAR,10,0,,,,, Reference to Reset Journal Entry (Journal Entry Number)
/BA1/HFSPD,/BA1/C55PRKREF,65,,,,CHAR,10,0,,,,, Reference to Parked Subledger Journal Entry (Jrnl Entry No.)
/BA1/HFSPD,/BA1/C55PDRES,66,,,,DATS,8,0,,,,, Posting Date of Reset
/BA1/HFSPD,/BA1/C55PROCID,67,,,,CHAR,20,0,,,,, Process Step ID for Process Controller
/BA1/HFSPD,/BA1/C55SPROID,68,,,,CHAR,20,0,,,,, Subprocess Step ID
/BA1/HFSPD,/BA1/C55RMCUCT,69,,,,CHAR,3,0,,,,, Remeasured Currency Type
/BA1/HFSPD,/BA1/CIDPSEID,70,,,,CHAR,20,0,,,,, Coverage Identifier
/BA1/HFSPD,/BA1/CRCLEID,71,,,,CHAR,20,0,,,,, Loss Event ID
/BA1/HFSPD,/BA1/C55RSELIM,72,,,,CHAR,1,0,,,,, Result from Interunit Elimination
/BA1/HFSPD,/BA1/C55R6CNID,73,,,,CHAR,20,0,,,,, Assigned Contract (Interunit Elimination)
/BA1/HFSPD,/BA1/C55PCSRUN,74,,,,CHAR,4,0,,,,, Special Run Category
/BA1/HFSPD,/BA1/C80BUSSG,75,,,,CHAR,10,0,,,,, Segment for Segment Reporting
/BA1/HFSPD,/BA1/CP0PRFCTR,76,,,,CHAR,10,0,,,,, Profit Center
/BA1/HFSPD,/BA1/C55PCOMP,77,,,,CHAR,6,0,,,,, Company of Business Partner
/BA1/HFSPD,/BA1/C55PBUKRS,78,,,,CHAR,4,0,,,,, Company Code of Business Partner
/BA1/HFSPD,/BA1/C80PBUSSG,79,,,,CHAR,10,0,,,,, Partner Segment for Segment Reporting
/BA1/HFSPD,/BA1/CP0PARTPC,80,,,,CHAR,10,0,,,,, Partner Profit Center
/BA1/HFSPD,/BA1/C55TPCOMP,81,,,,CHAR,6,0,,,,, Trading Partner Company
/BA1/HFSPD,/BA1/C55TPBKRS,82,,,,CHAR,4,0,,,,, Company Code of Trading Partner
/BA1/HFSPD,/BA1/C80TPBSSG,83,,,,CHAR,10,0,,,,, Trading Partner Segment for Segment Reporting
/BA1/HFSPD,/BA1/C80TPPCTR,84,,,,CHAR,10,0,,,,, Trading Partner Profit Center for Segment Reporting
/BA1/HFSPD,/BA1/C55DBCDF,85,,,,CHAR,1,0,,,,, Debit/Credit Indicator
/BA1/HFSPD,/BA1/C55SLACC,86,,,,CHAR,20,0,,,,, Subledger Account
/BA1/HFSPD,/BA1/C55SLACUR,87,,,,CUKY,5,0,,,,, Subledger Account Currency
/BA1/HFSPD,/BA1/C55CONSRC,88,,,,CHAR,4,0,,,,, Contract Source System
/BA1/HFSPD,/BA1/C55CONSTA,89,,,,CHAR,2,0,,,,, Contract Status
/BA1/HFSPD,/BA1/C41SRCSYS,90,,,,CHAR,4,0,,,,, Securities Source System
/BA1/HFSPD,/BA1/C41OBJSTA,91,,,,CHAR,2,0,,,,, Securities Status
/BA1/HFSPD,/BA1/C55ONSTIR,92,,,,CHAR,2,0,,,,, Onerousness Status on Initial Recognition
/BA1/HFSPD,/BA1/C55STATSG,93,,,,CHAR,4,0,,,,, Lifecycle Segment (Balance Sheet)
/BA1/HFSPD,/BA1/C11PRDCTR,94,,,,CHAR,1,0,,,,, Production Control
/BA1/HFSPD,/BA1/C55SACCCT,95,,,,CHAR,4,0,,,,, Securities Account Category
/BA1/HFSPD,/BA1/C11FITYPE,96,,,,CHAR,4,0,,,,, Securities Type
/BA1/HFSPD,/BA1/CR4PFCT,97,,,,CHAR,4,0,,,,, Portfolio Category
/BA1/HFSPD,/BA1/C55TRAPR,98,,,,CHAR,2,0,,,,, Transition Approach
/BA1/HFSPD,/BA1/C55PRODSG,99,,,,CHAR,4,0,,,,, Product Segment (Balance Sheet)
/BA1/HFSPD,/BA1/C55SLALC,100,,,,CHAR,4,0,,,,, Lifecycle Stage (Subledger Account)
/BA1/HFSPD,/BA1/C55OCYBAS,101,,,,NUMC,4,0,,,,, Occurrence Year
/BA1/HFSPD,/BA1/C80ORGUNI,102,,,,CHAR,10,0,,,,, Organizational Unit
/BA1/HFSPD,/BA1/C55COCNTD,103,,,,CHAR,10,0,,,,, Imported Contract Cost Center
